"muniCd","Pref","City","JCCCd","WDCd","JCC_text","JCGCd","JCG_text","hamlogCd"
"5464","秋田県","東成瀬村",,,,"04001","雄勝郡","A"
"6201","山形県","山形市","0501",,"山形市",,,
"6202","山形県","米沢市","0502",,"米沢市",,,
"6203","山形県","鶴岡市","0503",,"鶴岡市",,,
"6204","山形県","酒田市","0504",,"酒田市",,,
"6205","山形県","新庄市","0505",,"新庄市",,,
"6206","山形県","寒河江市","0506",,"寒河江市",,,
"6207","山形県","上山市","0507",,"上山市",,,
"6208","山形県","村山市","0508",,"村山市",,,
"6209","山形県","長井市","0509",,"長井市",,,
"6210","山形県","天童市","0510",,"天童市",,,
"6211","山形県","東根市","0511",,"東根市",,,
"6212","山形県","尾花沢市","0512",,"尾花沢市",,,
"6213","山形県","南陽市","0513",,"南陽市",,,
"6301","山形県","山辺町",,,,"05008","東村山郡","B"
"6302","山形県","中山町",,,,"05008","東村山郡","A"
"6321","山形県","河北町",,,,"05005","西村山郡","A"
"6322","山形県","西川町",,,,"05005","西村山郡","D"
"6323","山形県","朝日町",,,,"05005","西村山郡","B"
"6324","山形県","大江町",,,,"05005","西村山郡","C"
"6341","山形県","大石田町",,,,"05002","北村山郡","A"
"6361","山形県","金山町",,,,"05011","最上郡","A"
"6362","山形県","最上町",,,,"05011","最上郡","G"
"6363","山形県","舟形町",,,,"05011","最上郡","E"
"6364","山形県","真室川町",,,,"05011","最上郡","F"
"6365","山形県","大蔵村",,,,"05011","最上郡","C"
"6366","山形県","鮭川村",,,,"05011","最上郡","B"
"6367","山形県","戸沢村",,,,"05011","最上郡","D"
"6381","山形県","高畠町",,,,"05006","東置賜郡","B"
"6382","山形県","川西町",,,,"05006","東置賜郡","A"
"6401","山形県","小国町",,,,"05003","西置賜郡","B"
"6402","山形県","白鷹町",,,,"05003","西置賜郡","C"
"6403","山形県","飯豊町",,,,"05003","西置賜郡","A"
"6426","山形県","三川町",,,,"05007","東田川郡","C"
"6428","山形県","庄内町",,,,"05007","東田川郡","H"
"6461","山形県","遊佐町",,,,"05001","飽海郡","D"
"7201","福島県","福島市","0701",,"福島市",,,
"7202","福島県","会津若松市","0702",,"会津若松市",,,
"7203","福島県","郡山市","0703",,"郡山市",,,
"7204","福島県","いわき市","0715",,"いわき市",,,
"7205","福島県","白河市","0705",,"白河市",,,
"7207","福島県","須賀川市","0707",,"須賀川市",,,
"7208","福島県","喜多方市","0708",,"喜多方市",,,
"7209","福島県","相馬市","0711",,"相馬市",,,
"7210","福島県","二本松市","0714",,"二本松市",,,
"7211","福島県","田村市","0717",,"田村市",,,
"7212","福島県","南相馬市","0718",,"南相馬市",,,
"7213","福島県","伊達市","0719",,"伊達市",,,
"7214","福島県","本宮市","0720",,"本宮市",,,
"7301","福島県","桑折町",,,,"07011","伊達郡","C"
"7303","福島県","国見町",,,,"07011","伊達郡","B"
"7308","福島県","川俣町",,,,"07011","伊達郡","H"
"7322","福島県","大玉村",,,,"07002","安達郡","D"
"7342","福島県","鏡石町",,,,"07005","岩瀬郡","A"
"7344","福島県","天栄村",,,,"07005","岩瀬郡","C"
"7362","福島県","下郷町",,,,"07016","南会津郡","E"
"7364","福島県","檜枝岐村",,,,"07016","南会津郡","C"
"7367","福島県","只見町",,,,"07016","南会津郡","G"
"7368","福島県","南会津町",,,,"07016","南会津郡","H"
"7402","福島県","北塩原村",,,,"07017","耶麻郡","E"
"7405","福島県","西会津町",,,,"07017","耶麻郡","G"
"7407","福島県","磐梯町",,,,"07017","耶麻郡","B"
"7408","福島県","猪苗代町",,,,"07017","耶麻郡","D"
"7421","福島県","会津坂下町",,,,"07007","河沼郡","C"
"7422","福島県","湯川村",,,,"07007","河沼郡","B"
"7423","福島県","柳津町",,,,"07007","河沼郡","D"
"7444","福島県","三島町",,,,"07006","大沼郡","F"
"7445","福島県","金山町",,,,"07006","大沼郡","D"
"7446","福島県","昭和村",,,,"07006","大沼郡","E"
"7447","福島県","会津美里町",,,,"07006","大沼郡","G"
"7461","福島県","西郷村",,,,"07013","西白河郡","E"
"7464","福島県","泉崎村",,,,"07013","西白河郡","A"
"7465","福島県","中島村",,,,"07013","西白河郡","D"
"7466","福島県","矢吹町",,,,"07013","西白河郡","G"
"7481","福島県","棚倉町",,,,"07014","東白川郡","C"
"7482","福島県","矢祭町",,,,"07014","東白川郡","E"
"7483","福島県","塙町",,,,"07014","東白川郡","D"
"7484","福島県","鮫川村",,,,"07014","東白川郡","A"
"7501","福島県","石川町",,,,"07003","石川郡","B"
"7502","福島県","玉川村",,,,"07003","石川郡","C"
"7503","福島県","平田村",,,,"07003","石川郡","D"
"7504","福島県","浅川町",,,,"07003","石川郡","A"
"7505","福島県","古殿町",,,,"07003","石川郡","E"
"7521","福島県","三春町",,,,"07012","田村郡","G"
"7522","福島県","小野町",,,,"07012","田村郡","E"
"7541","福島県","広野町",,,,"07015","双葉郡","C"
"7542","福島県","楢葉町",,,,"07015","双葉郡","H"
"7543","福島県","富岡町",,,,"07015","双葉郡","B"
"7544","福島県","川内村",,,,"07015","双葉郡","F"
"7545","福島県","大熊町",,,,"07015","双葉郡","A"
"7546","福島県","双葉町",,,,"07015","双葉郡","D"
"7547","福島県","浪江町",,,,"07015","双葉郡","G"
"7548","福島県","葛尾村",,,,"07015","双葉郡","E"
"7561","福島県","新地町",,,,"07010","相馬郡","D"
"7564","福島県","飯舘村",,,,"07010","相馬郡","B"
"8201","茨城県","水戸市","1401",,"水戸市",,,
"8202","茨城県","日立市","1402",,"日立市",,,
"8203","茨城県","土浦市","1403",,"土浦市",,,
"8204","茨城県","古河市","1404",,"古河市",,,
"8205","茨城県","石岡市","1405",,"石岡市",,,
"8207","茨城県","結城市","1407",,"結城市",,,
"8208","茨城県","龍ケ崎市","1408",,"龍ケ崎市",,,
"8210","茨城県","下妻市","1410",,"下妻市",,,
"8211","茨城県","常総市","1435",,"常総市",,,
"8212","茨城県","常陸太田市","1412",,"常陸太田市",,,
"8214","茨城県","高萩市","1414",,"高萩市",,,
"8215","茨城県","北茨城市","1415",,"北茨城市",,,
"8216","茨城県","笠間市","1416",,"笠間市",,,
"8217","茨城県","取手市","1417",,"取手市",,,
"8219","茨城県","牛久市","1419",,"牛久市",,,
"8220","茨城県","つくば市","1420",,"つくば市",,,
"8221","茨城県","ひたちなか市","1421",,"ひたちなか市",,,
"8222","茨城県","鹿嶋市","1422",,"鹿嶋市",,,
"8223","茨城県","潮来市","1423",,"潮来市",,,
"8224","茨城県","守谷市","1424",,"守谷市",,,
"8225","茨城県","常陸大宮市","1425",,"常陸大宮市",,,
"8226","茨城県","那珂市","1426",,"那珂市",,,
"8227","茨城県","筑西市","1427",,"筑西市",,,
"8228","茨城県","坂東市","1428",,"坂東市",,,
"8229","茨城県","稲敷市","1429",,"稲敷市",,,
"8230","茨城県","かすみがうら市","1430",,"かすみがうら市",,,
"8231","茨城県","桜川市","1431",,"桜川市",,,
"8232","茨城県","神栖市","1432",,"神栖市",,,
"8233","茨城県","行方市","1433",,"行方市",,,
"8234","茨城県","鉾田市","1434",,"鉾田市",,,
"8235","茨城県","つくばみらい市","1436",,"つくばみらい市",,,
"8236","茨城県","小美玉市","1437",,"小美玉市",,,
"8302","茨城県","茨城町",,,,"14012","東茨城郡","A"
"8309","茨城県","大洗町",,,,"14012","東茨城郡","C"
"8310","茨城県","城里町",,,,"14012","東茨城郡","J"
"8341","茨城県","東海村",,,,"14008","那珂郡","A"
"8364","茨城県","大子町",,,,"14004","久慈郡","D"
"8442","茨城県","美浦村",,,,"14001","稲敷郡","I"
"8443","茨城県","阿見町",,,,"14001","稲敷郡","E"
"8447","茨城県","河内町",,,,"14001","稲敷郡","G"
"8521","茨城県","八千代町",,,,"14014","結城郡","C"
"8542","茨城県","五霞町",,,,"14005","猿島郡","A"
"8546","茨城県","境町",,,,"14005","猿島郡","B"
"8564","茨城県","利根町",,,,"14003","北相馬郡","A"
"9201","栃木県","宇都宮市","1501",,"宇都宮市",,,
"9202","栃木県","足利市","1502",,"足利市",,,
"9203","栃木県","栃木市","1503",,"栃木市",,,
"9204","栃木県","佐野市","1504",,"佐野市",,,
"9205","栃木県","鹿沼市","1505",,"鹿沼市",,,
"9206","栃木県","日光市","1506",,"日光市",,,
"9208","栃木県","小山市","1508",,"小山市",,,
"9209","栃木県","真岡市","1509",,"真岡市",,,
"9210","栃木県","大田原市","1510",,"大田原市",,,
